Plot ,GT_DSC,AC,PV,TV,BD,FV,SB,LO,PT,PASTEMP_RECALC,HRD,ADH,COH,SPR,SMMAX,LM_SMMAX,TD_SMMAX,TEMP_GELPT,TEMP_SMMAX,TROUGH_SM,SLOPE1_SM,SLOPE2_SM_abs,SLOPE3_LM,SLOPE4_LM_abs,PC
Plt0296,76.92,26,199.17,135.75,63.42,276.5,77.33,140.75,5.9,79,2131.85,13.72,0.44,0.11,30760,3417.67,0.12,62.17,84.93,15700,2401.54,934.995,941.1975,636.4675,7.85
Plt0329,76.37,25,297.5,203.17,94.33,352.33,54.83,149.17,6,78.3,1498.89,8.32,0.43,0.11,46823.33,6108.67,0.13,59.73,77.6,17833.33,8730.8325,1755.0525,2194.485,1415.33,8.63
Plt0369,76.88,27.4,225.67,134.58,91.08,281.08,55.42,146.5,5.7,79.15,1967.39,18.76,0.45,0.12,33410,3615,0.11,62.4,80.9,12750,9850.5,1329.95,2869.25,3338.575,6.55
Plt0370,76.44,27.2,240.58,166.67,73.92,289.17,48.58,122.5,6.1,79.8,2304.85,31.98,0.47,0.14,46170,4504,0.1,59.93,81.3,17850,4774.585,1674.375,2023.785,2472.99,6.84
Plt0376,78.65,19.4,201.25,114.67,86.58,238.08,36.83,123.42,5.9,79.8,1678.02,59.43,0.45,0.08,33356.67,3457.33,0.1,61.03,81.57,13666.67,8006.845,1478.68,1857.8325,2322.555,8.63
Plt0381,76.44,24.4,207.42,125.58,81.83,285.5,78.08,159.92,5.7,78.3,1674.7,14.33,0.42,0.14,37656.67,3829,0.1,61.93,83.53,14625,3593.5275,1588.975,1809.5,1018.5075,7.5
Plt0385,78.2,24.4,272.42,175,97.42,347.25,74.83,172.25,5.8,79.8,1900.86,11.7,0.44,0.1,45543.33,5384,0.11,59.27,79.83,13970,7896.105,1747.275,1674.6675,949.065,8.03
Plt0393,76.84,24,287.5,193.17,94.33,354.5,67,161.33,6,79.8,1836.78,20.17,0.46,0.1,39316.67,4080,0.1,62.8,79.57,13133.33,5568.23,1612.2775,1516.805,1912.8275,9.22
Plt0407,76.55,24.3,211.5,138.83,72.67,276.08,64.58,137.25,5.9,77.5,2273.53,32.08,0.39,0.11,31210,4511.33,0.15,60.4,82.4,14133.33,3193.125,1368.6175,1542.01,1147.6925,9.04
Plt0416,76.53,23.6,185.92,119.67,66.25,240.08,54.17,120.42,5.6,78.3,1685.94,17.86,0.37,0.1,45450,5225.67,0.12,59.1,78.17,17333.33,4538.335,1589.4675,3300.25,583.505,10.41
Plt0417,75.75,23.5,261.83,205.92,55.92,347.83,86,141.92,6.1,78.3,2578,11.65,0.44,0.12,19113.33,5068.33,0.23,62.7,87.73,7410,10508.15,2833.45,2588.545,2838,8.98
Plt0422,76.96,24.1,276.17,200.25,75.92,317.33,41.17,117.08,6.2,79,1671.05,14.48,0.47,0.13,26680,2288.33,0.09,63.7,85.9,12600,6567.1525,1459.575,1180.5875,2194.8825,8.93
Plt0429,77.38,24.9,268.83,176.92,91.92,340,71.17,163.08,5.9,79.8,1621.77,5.02,0.46,0.12,30976.67,2844.67,0.09,61.73,82.97,12800,3791.4475,1261.9125,2585.0075,3276.2,7.56
Plt0441,67.66,22.6,102.42,72.92,29.5,149.75,47.33,76.83,5.6,73.6,1625.52,21.99,0.36,0.1,59906.67,5810.67,0.1,51.4,69.8,16166.67,7379.585,1418.1975,1117.07,626.9725,8.33
Plt0459,78.27,24.7,249.83,181.92,67.92,367.42,117.58,185.5,5.9,81.35,1507.6,13.64,0.39,0.09,23163.33,2188,0.1,60,89.07,12000,2528.4175,1257.14,1231,1242.97,9.1
Plt0479,75.75,23.6,186.83,128.58,58.25,255.5,68.67,126.92,5.7,78.3,1322.49,11.8,0.35,0.1,26336.67,2710,0.11,59.97,89.9,14750,7348.5575,1723.36,1857.71,2876.775,10
Plt0485,69.2,23.7,119.75,80,39.75,173.92,54.17,93.92,5.6,73.6,1518.86,10.22,0.45,0.12,43816.67,4071,0.09,51.27,77.17,15233.33,10723.3325,1871.9725,3382.945,3212.75,9.46
Plt0492,78.43,19.9,265.58,138.33,127.25,259.17,-6.42,120.83,5.93,80.6,2490.7,85.94,0.47,0.09,27200,4003.67,0.16,61.27,78.37,10165,8131.6025,1357.3625,539.5,2153.59,8.33
Plt0493,77.81,26.3,234.83,129.5,105.33,268.67,33.83,139.17,5.3,79.15,2743.93,17.96,0.49,0.12,36256.67,4203.67,0.12,62.6,78.17,10926.67,7992,1894.3925,1450.97,673.57,7.74
Plt0511,76.3,22.8,242.08,170.33,71.75,311.33,69.25,141,5.9,79,2358.2,9.25,0.47,0.12,27846.67,2144.33,0.07,65.7,86.57,11866.67,6166.615,1679.35,1605.1125,1033.68,9.4
